First,Middle,Last
Georgius,,Sandheinrich
Petrus,,Schapertons
Philippus,,Schneider
Josephus,,Stamen
Franciscus,,Marchl
Henricus,,Nelles
Josephus,M.,Offergeld
Gustavus,,Reinsch
Gulielmus,,Brombach
Rudolphus,,Kiel
Georgius,,Metzger
Franciscus,X.,Aigner
Thomas,J.,Barrett
Josephus,,Busam
Patritius,M.,Collins
Thomas,F.,Graham
Joannes,B.,Kelleher
Josephus,G.,Kirchmyer
Milesius,A.,McLoughlin
Michael,J.,O'Shea
Robertus,F. X.,Reynolds
Georgius,W.,Wall
Thomas,G.,Wallace
Gulielmus,R.,Crawford
Franciscus,J.,Driscoll
Josephus,A.,Fortescue
Jacobus,A.,Harmon
Stephanus,A.,Koen
Carolus,H.,Mahan
Paulus,F.,Parsons
Adolphus,,Alekszunas
Joannes,F.,McTiernan
Stephanus,,Power
Ferdinandus,,Steimer
Cajetanus,,Bertolero
Edmundus,J.,Burke
Jacobus,T.,Casey
Joannes,J.,Cassidy
Joannes,A.,Cotter
Joannes,H.,Farley
Hugo,A.,Gaynor
Aloisius,J.,Guiney
Joannes,C.,Hart
Audoenus,A.,Hill
Robertus,H.,Johnson
Josephus,T.,Keating
Joannes,B.,Kreidler
Michael,J.,Mahony
Ricardus,,Martin
Carolus,J.,Mullaly
Joannes,F. X.,Murphy
Franciscus,D.,O'Laughlin
Michael,J.,Tully
Henricus,C.,Avery
Carolus,J.,Dean
Albertus,M.,Ewing
Ludovicus,J.,Gallagher
Vincentius,L.,Keelan
Josephus,M. A.,Kelly.
Jacobus,M.,Leavey
Joannes,A.,Mattimore
Eduardus,M. A.,Morning
Josephus,A.,Mulry
Daniel,J.,Quigley
Gulielmus,C.,Repetti
Georgius,F.,Strohaver
Julius,V.,Alekszunas
Leo,M.,Cavanaugh.
Gulielmus,F.,Lawton
Joannes,V.,Mahony
Georgius,,Mansell
Daniel,,McCarthy
Joannes,,O'Neill
Nicolaus,,Paradise
Joannes,H.,Spiess
Daniel,F.,Sullivan
Henricus,,Wirtz
Petrus,,Archer
Jacobus,B.,Becker
Cyrillus,,Briones
Aloisius,P.,Brosnan
Joannes,A.,Conway
Joannes,B.,Creeden
Eduardus,I.,Devitt
Thomas,A.,Emmet
Thomas,I.,Gasson
Joannes,L.,Gipprich
Hugo,J.,McNulty
Joannes,F. X.,O'Conor
Henricus,J.,Shandelle
Gulielmus,T.,Tallon
Franciscus,A.,Tondorf
Joannes,J.,Toohey
Franciscus,X.,Byrnes
Jacobus,H.,Dolan
Leo,A.,Dore
Franciscus,L.,Fenwick
Gulielmus,H.,Graham
Georgius,E.,Hanlon
Carolus,G. I.,Herzog
Gulielmus,G.,Logue
Franciscus,A.,McQuade
Arthurus,A.,O'Leary
Jacobus,A.,Walsh
Martinus,L.,Zillig
Jeremias,J.,Crough
Ricardus,F.,Furlong
Martinus,,Gallagher
Virgilius,L.,Golden
Antonius,J.,Herr
Fridericus,,Lang
Jacobus,,McCloskey
Michael,,McHugh
Ferdinandus,,Picone
Carolus,J.,Ramage
Jacobus,,Slicer
Patritius,,Traynor
Patritius,H.,Brennan
Eduardus,J.,Magrath
Joannes,F.,O'Donovan
Robertus,,Dockery
Vincentius,,Gulla
Joannes,W.,Casey
Gulielmus,F.,Cunningham
Philippus,J.,Debold.
Josephus,A.,Gorman
Joannes,,La Farge
Terentius,J.,Boyle
Josephus,P.,Carney
Joannes,E.,Condon
Franciscus,R.,Donovan
Georgius,A.,Fargis
Philippus,M.,Finegan
Eduardus,X.,Fink
Joannes,C.,Harmon
Joannes,A.,Jansen.
Joannes,B.,Jungck
Franciscus,J.,Lenahan
Franciscus,T.,McCarthy
Joannes,D.,McCarthy
Michael,R.,McCarthy
Aloisius,,Pfeil
Henricus,C.,Semple
Joannes,J.,Wynne
Georgius,T.,Eberle
Bernardus,A.,Fuller
Carolus,H.,Hessel
Dionysius,L.,McCarthy
Franciscus,L.,Reilly
Daniel,F.,Ryan
Arthurus,J.,Sheehan
Joannes,,Ditman
Patritius,,Donlon
Dionysius,,Hogan
Eduardus,E.,Ponholzer
Mauritius,,Roach
Michael,,Vizard
Franciscus,,Barnum
Paulus,L.,Blakely
Thomas,I.,Cryan
Patritius,J.,Dooley
Gualterus,,Dwight
Joannes,H.,Fisher
Joannes,W.,Fox
Franciscus,B.,Hargadon
Josephus,C.,Husslein
Henricus,A.,Judge
Michael,,Kenny
Jacobus,M.,Kilroy
Patritius,F.,O'Gorman
Georgius,E.,Quin
Ricardus,E.,Ryan
Martinus,J.,Scott
Josephus,H.,Smith
Josephus,M.,Stadelman
Christophorus,A.,Sullivan
Ricardus,H.,Tierney
Joannes,D.,Wheeler
Franciscus,L.,Archdeacon
Carolus,L.,Bernhardt
Philippus,A.,Conniff
Franciscus,X.,Downey
Jacobus,T.,Hayes
Josephus,S.,Knight
Paulus,G.,Rohr
Franciscus,X.,Talbot
Josephus,B.,Glynn
Thomas,F.,Lafferty
Adamus,J.,Miller
Thomas,J.,O'Hara
Patritius,K.,Wallace
Calogerus,,Battaglia
Josephus,,Gennaro
Henricus,,Longo
Dionysius,,Lynch
Augustinus,,Biazzo
Joannes,,Doran
Daniel,J.,Quinn
Terentius,J.,Shealy
Claudius,,Ramaz
Eduardus,F.,Gallagher
Gulielmus,F.,Gannon
Josephus,P.,Green
Benedictus,,Guldner
Gulielmus,J.,O'Gorman
Joannes,,O'Hara
Michael,A.,O'Kane
Josephus,P.,O'Reilly
Josephus,J.,Prendergast
Patritius,,Quill
Gulielmus,S.,Singleton
Eduardus,P.,Spillane
Gulielmus,M.,Stinson
Jacobus,A.,Taaffe
Robertus,J.,Tracy
Cornelius,L.,Bulman
Georgius,A.,Connors
Gulielmus,E.,Daly
Joannes,A.,Egan
Eduardus,J.,Flahaven
Arthurus,J.,Hohmann
Jacobus,B.,Mahoney
Joannes,F.,McNally
Alfredus,B.,Oates
Oliverius,B.,Skelly
Gulielmus,A.,Storck
Jacobus,F.,Carroll
Thomas,F.,Gear
Georgius,F.,Schaffner
Antonius,,Scherf
Ferdinandus,,Stengel
Jacobus,J.,Walsh
Albertus,G.,Brown
Patritius,H.,Casey
Gulielmus,H. A.,Coyle
Bernardus,,Keany
Patritius,H.,Kelly
Jacobus,I.,Maguire
Theobaldus,M.,McNamara
Joannes,P. M.,Walsh
Franciscus,M.,Connell
Petrus,F.,Cusick
Franciscus,P.,Donnelly
Jacobus,T.,Gardiner
Joannes,T.,Hedrick
Arthurus,J.,McCaffray
Patritius,A.,McQuillan
Patritius,J.,O'Connell
Michael,J.,Ahern
Carolus,F.,Arnold
Romualdus,,Benedet
Joannes,J.,Bolster
Henricus,M.,Brock
Jones,I. J.,Corrigan
Josephus,J.,Daley
Franciscus,X.,Delany
Arthurus,,D̩ry
Josephus,S.,Didusch
Aemilius,,Fontaine
Augustus,M.,Fremgen
Henricus,J.,Hagen
Dominicus,E.,Hammer
Franciscus,J.,Kelly
Carolus,L.,Kimball
Carolus,,King
Emmanuel,S.,Kouba
Vitus,,Leclaire
Eduardus,J.,Moran
Gulielmus,E.,Murphy
Ricardus,A.,O'Brien
Eduardus,C.,Phillips
Thomas,J.,Reilly
Felix,A.,Rossetti
Marcus,J.,Smith
Hermannus,I.,Storck
Florentius,,Sullivan
Thomas,I.,Tully
Carolus,,Vandriessche
Henricus,P.,White
Stephanus,A.,Boyle
Josephus,F.,Busam
Joannes,P.,Delaney
Thomas,Augustinus,Fay
Florentius,M.,Gillis
Antonius,M.,Guenther
Gulielmus,G.,Kelley
Emeranus,J.,Kolkmeyer
Robertus,S.,Lloyd
Jacobus,J.,McDermott
Jacobus,D.,Nugent
Gulielmus,B.,O'Shaughnessy
Jacobus,V,O'Sullivan
Franciscus,J.,Reilly
Franciscus,J.,Ruppel
Joannes,A.,Tobin
Joannes,H.,Collins
Thomas,Aloisius,Fay
Carolus,J.,Foley
Fridericus,W.,Henfling
Aloisius,J.,Kelsch
Bernardus,A.,Leeming
Josephus,F.,McAree
Hugo,M.,McCarron
Gulielmus,J.,McGarry
Eugenius,P.,Murphy
Fridericus,G.,O'Neill
Eduardus,S.,Poutie
Gulielmus,W.,Rice
Josephus,A.,Slattery
Joannes,J.,Smith
Josephus,J.,Weitekamp
Joannes,F,Barry
Ricardus,J.,Barter
Joannes,M.,Butcher
Thomas,P.,Butler
Gulielmus,A.,Carey
Daniel,A.,Creed
Daniel,J.,Curoe
Jacobus,F.,Dolan
Fridericus,J.,Donovan
Franciscus,X.,Dougherty
David,J.,Duncan
Jacobus,A.,Fennell
Joannes,E.,Grattan
Gulielmus,J.,Hoar
Jacobus,J.,Kelley
Eugenius,E.,McCarthy
Stephanus,F.,McNamee
Raymundus,J.,McWilliams
Josephus,T.,O'Brien
Joannes,F.,O'Hurley
Timotheus,J.,Phelan
Josephus,J.,Reilly
Josephus,,Reith
Robertus,T.,Smith
Joannes,A.,Waldron
Joannes,J.,Smith
Raymundus,J.,McWilliams
Antonius,J.,Bleicher
Jacobus,M.,Duff
Fridericus,R.,Frohnhoefer
Franciscus,E.,Garner
Cornelius,A.,Herlihy
Leo,H.,O'Hare
Franciscus,X.,Peirce
Oswald,A.,Reinhalter
Aloisius,S.,Travers
Josephus,A.,La Porta
Josephus,B.,Walsh
Alfredus,M.,Bauer
Jacobus,L.,Brennan
Jacobus,G.,Conroy
Henricus,G.,Farley
Joannes,M.,Gallagher
Robertus,I.,Gannon
Raymundus,R.,Goggin
Josephus,F.,Haitz
Josephus,M.,Kelly
David,V.,McCauley
Joannes,J.,McLaughlin
Franciscus,A.,Mulligan
Jacobus,T.,Mulligan
Henricus,V.,O'Neil
Eduardus,M.,Sullivan
Petrus,J.,Torpy
Thomas,M.,Welsh
Arthurus,L.,English
Franciscus,T.,Carey
Robertus,A.,Dyson
Thomas,J.,Feeney
Laurentius,A.,Walsh
Joannes,A.,Pollock
Josephus,T.,Rice
Grattan,T.,Walls
Hayne,R.,Martin
Dionysius,J.,Comey
Michael,J.,Dougherty
Albertus,F.,Driscoll
Carolus,J.,Gallagher
Leo,J.,Gilleran
Gulielmus,A.,Glaeser
Gualterus,B.,Lloyd
Joannes,J.,Lynch
Josephus,C.,Manley
Thomas,L.,Matthews
Henricus,B.,McCullough
Josephus,E.,McManus
Joannes,J.,Reed
Bernardus,V.,Shea
Gulielmus,R.,Stearns
Jacobus,A.,Walsh
Henricus,E.,Bean
Andreas,L.,Bouwhuis
Jacobus,G.,Colligan
Forrest,S.,Donahue
Morgan,A.,Downey
Antonius,L.,Gampp
Thomas,C.,Hughes
Joannes,J.,Kehoe
Eduardus,J.,Kenna
Josephus,,Merrick
Jeremias,F.,O'Keefe
Alfredus,A.,Purcell
Robertus,L.,Ryan
Leonardus,A.,Sapienza
Joannes,G.,Setter
Sidney,J.,Smith
Jacobus,P.,Sweeney
Joannes,F.,Treubig
Josephus,C.,Wieckmann
Thomas,J.,Brown
Jacobus,E.,Creahen
Leonardus,E.,Feeney
Albertus,E.,Foster
Joannes,J.,Hanrihan
Robertus,A.,Hewitt
Patritius,J.,Higgins
David,J.,Moran
Stephanus,A.,Mulcahy
Haroldus,,Mulqueen
Gulielmus,J.,Murphy
Gulielmus,A.,Scalley
Georgius,F.,Smith
Ludovicus,E.,Sullivan
Jacobus,,Welch
Joannes,J.,Crowley
Josephus,S.,Dinneen
Mauritius,L.,Ahern
Hieronymus,J.,Hurley
Eduardus,J.,Bauerlein
Franciscus,A.,Biniakiewicz
Franciscus,F.,Bowes
Josephus,,Byrne
Jacobus,F.,Callahan
Jacobus,F.,Carey
Gulielmus,E.,Carley
Thomas,,Crowley
Joannes,F.,Cummings
Matthaeus,,Devine
Antonius,,Gale
Michael,J.,Goergen
Ludovicus,,Kaiser
Thomas,,Lucki
Jacobus,,McNulty
Stanislaus,,Mul
Patritius,,Muldowney
Franciscus,,O'Kane
Jacobus,T.,O'Sullivan
Joannes,,Paffe
Emmanuel,S.,Reppert
Joannes,,Sheerin
David,J.,Conroy
Georgius,J.,Becker
Thomas,J.,Meehan
Thomas,,Moran
Adamus,,Wiacek
Petrus,,Dempsey
Franciscus,J.,Fehily
Mattingly,G.,Johnson
Abraham,J.,Emerick
Josephus,H.,Hann
Joannes,D.,Butler
Georgius,L.,Coyle
Daniel,P. A.,Crowley
Michael,,Earls
Eduardus,T.,Farrell
Joannes,M.,Fox
Fridericus,W.,Heaney
Joannes,C.,Keveney
Jacobus,F.,Leary
Joannes,F.,Lehy
Thomas,F.,McLoughlin
Franciscus,J.,McNiff
Jacobus,A.,Mullen
Gulielmus,C.,Nevils
Petrus,A.,Oates
Herbertus,J.,Parker
Albertus,,Peters
Franciscus,P.,Powers
Joannes,X.,Pyne
Patritius,,Rafferty
Fernandus,A.,Rousseau
Petrus,J.,Schweitzer
Robertus,,Swickerath
Ludovicus,S.,Weber
Gulielmus,R.,Cullen
Joannes,F.,Doherty
Joannes,F.,Duston
Joannes,P.,Gallagher
Godfridus,A.,Kaspar
Joannes,J.,Morris
Josephus,W.,Parsons
Eduinus,D.,Sanders
Clarentius,E.,Shaffrey
Ferdinandus,C.,Wheeler
Allanus,J.,Blake
Thomas,F.,Burns
Fridericus,W. A.,Freeman
Joannes,,Freeth
Franciscus,X.,Horwedel
Patritius,,McCarthy
Martinus,,Nestor
Henricus,,Probst
Hugo,,Reilly
Eugenius,A.,Rossi
Paulus,,Smith
Gulielmus,J.,Brooks
Augustus,J.,Duarte
Cemens,S.,Lancaster
Joannes,H.,Mulligan
Jacobus,A.,Noonan
Joannes,B.,Pittar
Gulielmus,J.,Quigley
Joannes,,Scully
Eduardus,J.,Sweeney
Joannes,A.,Dixon
Timotheus,J.,McCarthy
Gulielmus,H.,McClellan
Martinus,A.,Schmitt
Aloisius,B.,Wessling
Matthaeus,J.,Byrne
Jeremias,,Flaherty
Michael,,Habermann
Joannes,J.,O'Connell
Rochus,,Quattrocchi
Timotheus,B.,Barrett
Gulielmus,J.,Brosnan
Joannes,A.,Brosnan
Jacobus,A.,Cahill
Daniel,J. M.,Callahan
Henricus,T.,Casten
Henricus,A.,Coffey
Paulus,R.,Conniff
Antonius,C.,Cotter
Jacobus,F.,Dawson
Gualterus,,Drum
Gulielmus,J.,Duane
Carolus,J.,Hennessy
Michael,P.,Hill
Carolus,V.,Lamb
Joannes,T.,Langan
Joannes,J.,Lunny
Petrus,,Lutz
Hector,,Papi
Aloisius,,Romano
Josephus,M.,Woods
Franciscus,A.,Byrne
Thomas,B.,Chetwood
Patritius,S.,Cronin
Vincentius,M.,Dente
Eduardus,P.,Duffy
Josephus,F.,Ford
Thomas,Ang.,Iorio
Eugenius,T.,Kenedy
Fridericus,M.,Lupi
Josephus,A.,Murphy
Josephus,M.,Sorrentino
Eduardus,P.,Tivnan
Henricus,J.,Wessling
Gulielmus,,Benn
Martinus,,Burke
Thomas,,Clarke
Carolus,F.,Connor
David,C.,Cronin
Josephus,A.,Farrell
Jacobus,G.,Keyes
Fortunatus,,Laurendeau
Franciscus,P.,LeBuffe
Ludovicus,,Ott
Ricardus,R.,Ranken
Daniel,,Reidy
Timotheus,F.,Scanlan
Leo,,Simpson
Gulielmus,S. F.,Dolan
Franciscus,J.,Dore
Franciscus,X.,Entz
Michael,F.,Fitzpatrick
Franciscus,J.,Glover
Josephus,S.,Hogan
Henricus,B.,Kelly
Zachaeus,,Maher
Joannes,J.,McCloskey
Vincentius,A.,McCormick
Joannes,P.,Meagher
Joannes,A.,Morning
Carolus,,O'Brien
Achilles,,Rousseau
Franciscus,X.,Siggins
Edmundus,A.,Walsh
Josephus,J.,Ayd
Fridericus,,Boehm
Franciscus,,Cavey
Dominicus,A.,Cirigliano
Michael,A.,Clark
Ignatius,W.,Cox
Antonius,,Galin
Petrus,J.,Halpin
Ludovicus,J.,Haubert
Joannes,M.,Jacobs
Josephus,M.,Kelley
Gregorius,G.,Kiehne
Carolus,A.,Kleinmeyer
Thomas,R.,Martin
Junius,A.,McGehee
Ludovicus,,O'Brien
Cemens,R.,Risacher
Samuel,J.,Robb
Joannes,H.,Schieswohl
Vedastus,M.,Valerio
Michael,,Cronin
Timotheus,,Cronin
Gulielmus,J.,Fitzgerald
Robertus,,Libertini
Joannes,G.,Mahoney
Vincentius,S.,McDonough
Audoenus,S.,Murphy
Ferdinandus,A.,Muth
Josephus,,Sullivan
Petrus,M.,Telese
Geraldus,C.,Treacy
Ludovicus,J.,Voung
Franciscus,A.,Breen
Josephus,A.,Canning
Felix,,Clarkson
Hugo,A.,Dalton
Gulielmus,L.,Desnoes
Gulielmus,F.,Downing
Petrus,J. A.,Farrell
Josephus,L.,Healy
Gulielmus,A.,McCartney
Jacobus,L.,McGovern
Pius,,Moore
Joannes,Jac.,O'Connor
Josephus,,Vives
Daniel,I.,Cronin
Eugenius,B.,Cummings
Joannes,P.,Fitzpatrick
Leo,I.,Hargadon
Aloisius,T.,Higgins
Daniel,J.,Lynch
Josephus,J.,Mereto
Joannes,J.,Murphy
Attilius,H.,Raines
Eduardus,,Ryan
Joannes,,Villalonga
Josephus,A.,Huefner
Josephus,A.,Manning
Eduardus,A.,McNamara
Daniel,J.,Stack
Daniel,F.,Creeden
Hugo,E.,Bevins
Georgius,D.,Bull
Januarius,,Casolaro
Sanctus,J.,Catalano
Benedictus,,Chisholm
Terentius,L.,Connolly
Gulielmus,V.,Corliss
Jacobus,G.,Daly
Atlee,F. X.,Devereux
Andreas,S.,Dimichino
Gabinus,,Egana
Joannes,A.,Frisch
Josephus,C.,Glose
Gregorius,,Goni
Jacobus,,Greely
Andreas,A.,Hofmann
Aloisius,J.,Hogan
Robertus,E.,Holland
Franciscus,G.,Kempel
Ronaldus,,MacDonald
Josephus,F.,MacDonnell
Eugenius,A.,Martin
Petrus,H.,Masterson
Joannes,,McAuley
Gulielmus,J.,McEntee
Henricus,P.,McGlinchey
Josephus,J.,McGowan
Ludovicus,E.,McKay
Paulus,A.,McNally
Mauritius,A.,Mudd
Aloisius,,Mulry
Joannes,C.,O'Connell
Carolus,,Quirk
Joannes,A.,Risacher
Albertus,,Roy
Stephanus,J.,Rudtke
Gulielmus,,Ruggeri
Gulielmus,A.,Schmitt
Antonius,,Schweitzer
Benedictus,,Serrano
Eduardus,S.,Swift
Gulielmus,A.,Whalen
Berchmans,J.,Boland
Franciscus,E.,Bowen
Vachel,J.,Brown
Thomas,A.,Donoghue
Gulielmus,V.,Doyle
Rudolphus,J.,Eichhorn
Josephus,A.,Fennell
Aloisius,E.,Fuller
Joannes,H.,Gampp
Hezekias,C.,Greenwell
Hugo,S.,Healy
Gulielmus,,Kearney
Aloisius,B.,Langguth
Thomas,J.,Love
Josephus,L.,Lucas
Franciscus,E.,Lucey
Carolus,,Maring
Joannes,T.,McGrory
Gulielmus,F.,McHale
Raymundus,J.,McInnis
Hugo,J.,McLaughlin
Leonardus,A.,Murphy
Jacobus,V.,O'Neill
Robertus,A.,Parsons
Gulielmus,,Reed
Carolus,M.,Roddy
Daniel,H.,Sullivan
Ludovicus,A.,Wheeler
Gulielmus,,Vancey
Joannes,P.,Barnes
Georgius,W.,Black
Gulielmus,P.,Brown
Gualterus,,Burns
Michael,,Campana
Josephus,F.,Carroll
Eduardus,P.,Cerrute
Gulielmus,J.,Cohill
Josephus,K.,Countie
David,A.,Daly
Joannes,A.,Daly
Joannes,,Deignan
Carolus,E.,Deppermann
Thomas,F.,Gallagher
Joannes,J.,Heenan
Gualterus,L.,Judge
Jacobus,H.,Kearney
Alfredus,F.,Kienle
Franciscus,E.,Low
Joannes,E.,Lyons
Daniel,P.,Mahoney
Joannes,V.,Matthews
Franciscus,M.,McEntee
Eduinus,,McFadden
Joannes,W.,Moran
Josephus,T.,Murphy
Thomas,J.,Murray
Josephus,,O'Loughlin
Thomas,I.,O'Malley
Jacobus,L.,O'Neill
Martinus,J.,O'Shaughnessy
Carolus,,Palacio
Laurentius,K.,Patterson
Bartholomaeus,,Quinn
Haroldus,A.,Reilly
Joannes,F.,Shea
Joannes,P.,Smith
Josephus,J.,Sullivan
Laurentius,,Toups
Leo,A.,Weber
Augustus,,Abram
Carolus,,Abram
Joannes,,Clarke
Gulielmus,J.,Coffey
Martinus,,Fitzpatrick
Joannes,,Foster
Bernardus,,Gaffney
Eduardus,A.,Graham
Patritius,,Hagerty
Jacobus,,Harrington
Joannes,P.,Himmelreicher
Gulielmus,,McElaney
Daniel,A.,McLaughlin
Joannes,,McMullan
Joannes,J.,McShea
Thomas,,Murray
Joannes,,O'Connell
Aloisius,,O'Leary
Andreas,,O'Reilly
Orestes,,Pinamonti
Laurentius,,Ritter
Audoenus,,Thompson
Josephus,I.,Fink
Franciscus,S.,Howle
Josephus,A.,Keller
Jacobus,V.,Kelly
Franciscus,H.,Kreis
Patritius,F. X.,Mulry
Gulielmus,F.,O'Hare
Milesius,J.,O'Mailia
Joannes,A.,Pfister
Bernardus,H.,Pohlmann
Mauritius,E.,Prendergast
Michael,J.,Sheehy
Jacobus,L.,Smith
Alphonsus,,Weis
Henricus,L.,Fieth
Gulielmus,,Hughes
Franciscus,X.,Pilliod
Fridericus,,Grewen
Petrus,,Kayser
Jeremias,M.,Prendergast
Josephus,J.,Williams
A. J.,Elder,Mullan
Carolus,B.,Macksey
Joannes,J.,O'Rourke
Demetrius,,Zema
Gulielmus,M.,McDonough
Joannes,J.,Thompkins
Jacobus,A.,Rockliff
Thomas,J.,Campbell
Georgius,F.,McDonald
Eduardus,A.,Sullivan
Franciscus,L.,Andries
Franciscus,X.,Daly
Stephanus,,Bueno
Marcus,J.,McNeal