Key,Value,ID
collegium baltimorense,collegium baltimorense,CL01
collegium loyolaeum,collegium baltimorense,CL01
collegium bostoniense,collegium bostoniense,CL02
collegium brookliniense,collegium brooklyniense,CL03
collegium brooklyniense,collegium brooklyniense,CL03
"collegium brooklyniense. brooklyn college, 1125 carroll",collegium brooklyniense,CL03
collegium buffalense b. petri canisii,collegium buffalense,CL04
collegium caesariense sancti petr,collegium caesariense sancti petri,CL05
collegium caesariense sancti petri,collegium caesariense sancti petri,CL05
collegium inchoatum s. petri,collegium caesariense sancti petri,CL05
collegium s. petri,collegium caesariense sancti petri,CL05
collegium s. petri inchoatum,collegium caesariense sancti petri,CL05
residentia caesariensis ad s. petri et collegium inchoatum,collegium caesariense sancti petri,CL05
collegium fordhamense ad s. joannis,collegium fordhamense,CL07
collegium fordhamense et convictus sancti joannis,collegium fordhamense,CL07
collegium s. joannis et convictus,collegium fordhamense,CL07
collegium georgiopolitanum et convictus,collegium georgiopolitanum,CL08
collegium georgiopolitanum et convictus,collegium georgiopolitanum,CL08
collegium hingstonense et residentia sancti georgii,collegium kingstonense,CL09
eingstonense et residentia sancti georgii,collegium kingstonense,CL09
hingstonense et residentia sancti georgii,collegium kingstonense,CL09
collegium kingstonense et residentia sancti georgii,collegium kingstonense,CL09
collegium maximum,collegium maximum woodstockiense,CL10
collegium maximum sacratissimi cordis jesu,collegium maximum woodstockiense,CL10
collegium maximum woodstockiense sacratissimi cordis jesi,collegium maximum woodstockiense,CL10
collegium maximum woodstockiense sacratissimi cordis jesu,collegium maximum woodstockiense,CL10
collegium maximum woodstockiense sacratissimi cordis jesu,collegium maximum woodstockiense,CL10
collegium sacratissimi cordis jesu,collegium maximum woodstockiense,CL10
collegium inchoatum s. josephi,collegium philadelphiense,CL11
collegium philadelphiense sancti josephi,collegium philadelphiense,CL11
collegium s. crucis et convictus,collegium s. crucis,CL12
collegium vigorniense et convictus,collegium s. crucis,CL12
collegium vigorniense et convictus sanctae crucis,collegium s. crucis,CL12
collegium neo eboracense sancti francisci xaverii,collegium sancti francisci xaverii,CL13
collegium neo eboracense sancti francisci xaverii,collegium sancti francisci xaverii,CL13
collegium neo eboracense et residentia,collegium sancti francisci xaverii,CL13
collegium s. francisci xaverii,collegium sancti francisci xaverii,CL13
collegium washingtoniense,collegium washingtoniense,CL14
collegium washingtoniense sancti aloisii gonzagae,collegium washingtoniense,CL14
collegium gonzagense,collegium washingtoniense,CL14
degentes extra provinciam,degentes extra provinciam,DGEP
domus exercitiorum neo eboracensis,domus exercitiorum neo eboracensis,DM01
domus philosophiae,domus philosophiae westoniensis,DP01
domus philosophiae westoniensis fairview,domus philosophiae westoniensis,DP01
domus probationis fridericopolitana,domus probationis fridericopolitana,DP02
domus probationis poughkeepsiensis sancti andreae,domus probationis poughkeepsiensis,DP03
domus probat.,domus probationis poughkeepsiensis,DP03
domus probationis stockbridgensis sancti stanislai shadowbrook,domus probationis stockbridgensis,DP04
domus probationis yonkersensis sancti stanislai,domus probationis yonkersensis,DP05
domus probationis manresana,domus probationis manresana,DP06
domus probationis s. p. ignatii, domus probationis manresana,DP06
domus scriptorum neo eboracensis,domus scriptorum neo eboracensis,DM02
ex aliis provinciis in nostra degentes,ex aliis provinciis in nostra degentes,EXAP
residentia ad bohemiam,residentia ad bohemiam,RS01
residentia ad leonardtown leonardtown,residentia ad leonardtown,RS02
residentia ad leonardtown s. aloisii,residentia ad leonardtown,RS02
residentia ad s. ignatii,residentia ad s. ignatii,RS03
residentia ad s. laurentii,residentia ad s. laurentii,RS04
residentia ad s. laurentii .,residentia ad s. laurentii,RS04
residentia ad whitemarsh,residentia ad whitemarsh,RS05
residentia alexandrina,residentia alexandrina,RS06
residentia alexandrina ad s. mariae,residentia alexandrina,RS06
residentia alexandrina sanctae mariae,residentia alexandrina,RS06
residentia bohemiensis ad s. francisci xaverii,residentia bohemiensis s. francisci xaverii,RS07
residentia bohemiensis s. francisci xaverii,residentia bohemiensis s. francisci xaverii,RS07
residentia bostoniensis ad s. mariae,residentia bostoniensis ad s. mariae,RS08
residentia bostoniensis s. mariae,residentia bostoniensis ad s. mariae,RS08
residentia bostoniensis sanctae mariae,residentia bostoniensis ad s. mariae,RS08
residentia ad s. mariae,residentia bostoniensis ad s. mariae,RS08
residentia bostoniensis ad ss. trinitatis,residentia bostoniensis ad ss. trinitatis,RS09
residentia bostoniensis ss. tiinitatis,residentia bostoniensis ad ss. trinitatis,RS09
residentia bostoniensis ss. trinitatii,residentia bostoniensis ad ss. trinitatis,RS09
residentia bostoniensis ss. trinitatis,residentia bostoniensis ad ss. trinitatis,RS09
residentia bowiensis,residentia bowiensis,RS10
residentia bowiensis ss. ascensionis,residentia bowiensis,RS10
residentia buffalensis s. annac,residentia buffalensis s. annae,RS11
residentia buffalensis s. annae,residentia buffalensis s. annae,RS11
residentia chapticonensis b. m. virginis lauretanae,residentia chapticonensis,RS12
residentia conewaginensis,residentia conewaginensis,RS13
residentia georgiopolitana ad ss. trinitatis,residentia georgiopolitana ss. trinitatis,RS14
residentia georgiopolitana ss. trinitatis,residentia georgiopolitana ss. trinitatis,RS14
residentia ad ss. trinitatis,residentia georgiopolitana ss. trinitatis,RS14
residentia goshenhoppenensis,residentia goshenhoppenensis,RS15
residentia goshenhoppenensis ad ss. sacramenti bally,residentia goshenhoppenensis,RS15
residentia goshenhoppensis,residentia goshenhoppenensis,RS15
residentia in insula keyser,residentia in insula keyser,RS16
residentia in insula manresa,residentia in insula keyser,RS16
residentia manresana,residentia in insula keyser,RS16
residentia leonardopolitana s. aloisi,residentia leonardopolitana s. aloisii,RS17
residentia leonardopolitana s. aloisii,residentia leonardopolitana s. aloisii,RS17
residentia leonardopolitana sancti aloisii,residentia leonardopolitana s. aloisii,RS17
residentia neo eboracensis ad s. joseph,residentia neo eboracensis ad s. joseph,RS18
residentia neo eboracensis sancti joseph,residentia neo eboracensis ad s. joseph,RS18
residentia ad s. josephi 87th,residentia neo eboracensis ad s. joseph,RS18
residentia ad s. josephi neo eboracensis,residentia neo eboracensis ad s. joseph,RS18
residentia neo eboracensis ad s. laurentii,residentia neo eboracensis ad s. laurentii,RS19
residentia neo eboracensis sancti laurentii,residentia neo eboracensis ad s. laurentii,RS19
residentia ad s. laurentii neo eboracensis,residentia neo eboracensis ad s. laurentii,RS19
residentia neo eboracensis b. m. virginis lauretanae,residentia neo eboracensis ad s. laurentii,RS19
residentia neo eboracensis kohlmann hall,residentia neo eboracensis kohlmann hall,RS20
residentia neo eboracensis kohlnann,residentia neo eboracensis kohlmann hall,RS20
"residentia neo eboracensis kohlmann hall soi east fordham road, new york, n. y. p. carolus j. mullaly",residentia neo eboracensis kohlmann hall,RS20
residentia neo eboracensis ss. nativitatis,residentia neo eboracensis ss. nativitatis,RS21
residentia philadelphiensis ad s. joseph,residentia philadelphiensis ad s. josephi,RS22
residentia philadelphiensis ad s. josephi,residentia philadelphiensis ad s. josephi,RS22
residentia philadelphiensis s. josephi,residentia philadelphiensis ad s. josephi,RS22
residentia philadelphiensis sancti joseph,residentia philadelphiensis ad s. josephi,RS22
residentia ad s. josephi,residentia philadelphiensis ad s. josephi,RS22
residentia philadelphiensis ss. nominis jesu,residentia philadelphiensis ss. nominis jesu,RS23
residentia philadelphiensis ss. nominis jesu,residentia philadelphiensis ss. nominis jesu,RS23
residentia ad ss. nominis jesu,residentia philadelphiensis ss. nominis jesu,RS23
residentia philadelphiensis ad ss. nominis jesu,residentia philadelphiensis ss. nominis jesu,RS23
residentia providentiana ad s. joseph,residentia providentiana ad s. joseph,RS24
residentia providentiana sancti joseph,residentia providentiana ad s. joseph,RS24
residentia ridgensis sancti michaelis,residentia ridgensis sancti michaelis,RS25
residentia s. ignatii,residentia s. ignatii,RS26
residentia sancti ignatii,residentia s. ignatii,RS26
residentia s. thomae,residentia s. thomae,RS27
residentia sancti thomae,residentia s. thomae,RS27
residentia ad s. thomae,residentia s. thomae,RS27
residentia trojana ad s. joseph,residentia trojana ad s. josephi,RS28
residentia trojana ad s. josephi,residentia trojana ad s. josephi,RS28
residentia trojana sancti joseph,residentia trojana ad s. josephi,RS28
residentia trojana sancti josephi,residentia trojana ad s. josephi,RS28
residentia washingtoniensis ad s. joseph c,residentia washingtoniensis ad s. joseph,RS29
residentia whitemarshensis,residentia whitemarshensis,RS30
schola alta baltimorensis,schola alta baltimorensis,SA01
schola alta bostoniensis,schola alta bostoniensis,SA02
schola alta buffalensis b. petri,schola alta buffalensis b. petri canisii,SA03
schola alta buffalensis b. petri canisii,schola alta buffalensis b. petri canisii,SA03
schola loyolaea neo eboracensis,schola loyolaea neo eboracensis,SA04
schola loyolaea neo eboracensis et schola,schola loyolaea neo eboracensis,SA04
schola praeparatoria collegii georgiopolitani,schola praeparatoria collegii georgiopolitani,SA05